code,venue,roll
BM506H,L4,"254024001, 254024002, 254024003, 254024004, 254024005, 254024006, 254024007, 254024008, 254024009, 254024010, 254024011, 254024012, 254024013, 254024014, 254024015, 254024016, 254024017, 254024018, 254024019, 254024020, 254024021, 254024022"
BM507H,L2,"254024001, 254024002, 254024003, 254024004, 254024005, 254024006, 254024007, 254024008, 254024009, 254024010, 254024011, 254024012, 254024013, 254024014, 254024015, 254024016, 254024017, 254024018, 254024019, 254024020, 254024021, 254024022"
BM508H,L2,"254024001, 254024002, 254024003, 254024004, 254024005, 254024006, 254024007, 254024008, 254024009, 254024010, 254024011, 254024012, 254024013, 254024014, 254024015, 254024016, 254024017, 254024018, 254024019, 254024020, 254024021, 254024022, 246124102, 256124001, 256124002, 256124003, 256124004, 256124005, 256124006"
BM509H,5401,"254024001, 254024002, 254024003, 254024004, 254024005, 254024006, 254024007, 254024008, 254024009, 254024010, 254024011, 254024012, 254024013, 254024014, 254024015, 254024016, 254024017, 254024018, 254024019, 254024020, 254024021, 254024022, 256124001, 256124003, 256124004"
BM525H,L2,"254024001, 254024002, 254024003, 254024004, 254024005, 254024006, 254024007, 254024008, 254024009, 254024010, 254024011, 254024012, 254024013, 254024014, 254024015, 254024016, 254024017, 254024018, 254024019, 254024020, 254024021, 254024022, 256124002, 256124006"
BM642H,L3,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029, 256124001, 256124003, 256124004"
BM666H,L3,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029, 256124005"
BM682H,L2,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029, 256124002, 256124005, 256124006"
BT201,5404,"230106025, 240106001, 240106002, 240106003, 240106004, 240106005, 240106006, 240106009, 240106010, 240106011, 240106012, 240106013, 240106017, 240106018, 240106019, 240106020, 240106021, 240106022, 240106023, 240106024, 240106025, 240106028, 240106029, 240106030, 240106031"
BT201,5405,"240106032, 240106033, 240106034, 240106035, 240106036, 240106037, 240106038, 240106039, 240106040, 240106041, 240106046, 240106047, 240106048, 240106049, 240106050, 240106051, 240106052, 240106053, 240106054, 240106055, 240106057, 240106058, 240106060, 240106061, 240106063"
BT201,5406,"240106064, 240106065, 240106066, 240106067, 240106068, 240106069, 240106070, 240106072, 240106074, 240106075, 240106076, 240106077, 240106078, 240106079, 240106080, 240106081, 240106082, 240106083, 220106053, 230106064"
BT202,L2,"230106025, 240106001, 240106002, 240106003, 240106004, 240106005, 240106006, 240106009, 240106010, 240106011, 240106012, 240106013, 240106017, 240106018, 240106019, 240106020, 240106021, 240106022, 240106023, 240106024, 240106025, 240106028, 240106029, 240106030, 240106031, 240106032, 240106033, 240106034, 240106035, 240106036, 240106037, 240106038, 240106039, 240106040, 240106041"
